,Model,train_rmse,valid_rmse,test_rmse,train_time,epoch,batch,neuron
0,DFS,0.05856521899594013,0.06040912578753511,0.05986655234408926,6744.13,50,32,10
0,DFS,0.08285243757794798,0.08422855903900675,0.08405521981230726,15010.06,50,32,50
0,DFS,0.0580487693163102,0.06093516361518245,0.060597488841413784,35586.88,50,32,200
0,DFS,0.08285747928154491,0.08425412073860318,0.08390702664057935,3682.11,50,256,10
0,DFS,0.056914781292887684,0.05864073484853729,0.05833982383205365,5761.65,50,256,50
0,DFS,0.08283388357056357,0.0842177395344358,0.08398177418984322,17125.67,50,256,200
0,DFS,0.08289911981894212,0.0843180001157447,0.0837774563078774,3698.14,50,1024,10
0,DFS,0.05614091757063367,0.058510603202948853,0.05810400766716835,5441.08,50,1024,50
0,DFS,0.08285433588674135,0.08422931172845165,0.08406531654812781,20678.02,50,1024,200
