,Model,Test RMSE,Train RMSE,Training Time,train_rmse,train_time,valid_rmse
0,LSTM,0.06077892953460443,0.05799942659359592,44694.64,,,
0,GRU,0.06023589051072136,0.060498239413637064,31502.1,,,
0,LSTM_LSTM,0.061739104934457535,0.055264671253294685,93106.06,,,
0,GRU_GRU,0.07089782847213957,0.06957737828006504,70882.23,,,
0,LSTM_GRU,0.05865853181766424,0.058613413432485946,82238.72,,,
0,GRU_LSTM,0.059927020607729045,0.057813141782727506,85001.61,,,
0,DFS,0.06821552348073981,0.06769504608873003,16550.17,,,
0,CBGRU,0.06437083373271744,0.06401024653464048,21698.66,,,
0,DFS_GRU,0.08240996706369183,0.08364978775224245,13643.11,,,
0,DFS_2LSTM,0.08200876965658081,0.08297346210649052,28227.45,,,
0,CB_2GRU,0.07671223886330555,0.079626516710039,40876.16,,,
0,CBLSTM,0.08294625720443972,0.08354765070182299,27350.45,,,
