,Model,train_rmse,valid_rmse,24h_pred_rmse,train_time,epoch,batch,neuron
0,<keras.engine.sequential.Sequential object at 0x14943a7b8>,0.003981623245730723,0.019546547754038877,0.008929283504336541,6.07,5,32,50
0,<keras.engine.sequential.Sequential object at 0x14b445ba8>,0.0029724420266066275,0.012659417549561944,0.005211046820517529,8.66,5,32,100
0,<keras.engine.sequential.Sequential object at 0x14cc7cb38>,0.03304340514907254,0.04098396178799033,0.031921501649917805,22.05,5,32,200
0,<keras.engine.sequential.Sequential object at 0x14db4ff98>,0.02260202416351494,0.03146853065566565,0.023184065558469635,4.22,5,256,50
0,<keras.engine.sequential.Sequential object at 0x14dbf8198>,0.0409402434454918,0.045379477135320055,0.036686278973915465,6.56,5,256,100
0,<keras.engine.sequential.Sequential object at 0x14fddd518>,0.9080241711652887,0.8358315435588305,0.7230965876404911,11.57,5,256,200
0,<keras.engine.sequential.Sequential object at 0x15115a5c0>,0.07212891698679649,0.07727883379376463,0.07595087086641215,4.52,5,1024,50
0,<keras.engine.sequential.Sequential object at 0x151205d30>,0.14506106514139191,0.16089606757245006,0.14891183292994659,6.41,5,1024,100
0,<keras.engine.sequential.Sequential object at 0x1582d3668>,1.0569659252567194,1.0284871813186676,1.064258943926982,16.81,5,1024,200
0,<keras.engine.sequential.Sequential object at 0x1587143c8>,0.0022205361340952687,0.0057830059634231355,0.003216150921664902,13.71,10,32,50
0,<keras.engine.sequential.Sequential object at 0x15a3e7e10>,0.024248892032273466,0.03430175157712559,0.04254397959632517,19.04,10,32,100
0,<keras.engine.sequential.Sequential object at 0x15ab3a978>,0.0002951948992604903,0.0002645317849932696,0.00024842803460276903,44.67,10,32,200
0,<keras.engine.sequential.Sequential object at 0x15ab31a58>,0.01763907321195758,0.021601170186430464,0.016215745513720757,8.32,10,256,50
0,<keras.engine.sequential.Sequential object at 0x15bd73a90>,0.11202127077734586,0.11215152710945993,0.11197999022444534,13.72,10,256,100
0,<keras.engine.sequential.Sequential object at 0x15caa3f60>,0.25700527617473007,0.2593515590546453,0.2609210612015039,26.67,10,256,200
0,<keras.engine.sequential.Sequential object at 0x15d3cfef0>,0.05571310125639179,0.06527535131786458,0.06137180738230237,8.23,10,1024,50
0,<keras.engine.sequential.Sequential object at 0x15e949f98>,0.5144287339433649,0.5062798780391511,0.5548311907275497,12.57,10,1024,100
0,<keras.engine.sequential.Sequential object at 0x15ea39e48>,1.881130936007129,1.874821446092564,1.8563634426472888,30.14,10,1024,200
0,<keras.engine.sequential.Sequential object at 0x15f278ef0>,0.016064879658925477,0.01795300666314412,0.013741353279666134,7.72,2,32,50
0,<keras.engine.sequential.Sequential object at 0x160266f98>,0.11308508026137179,0.11428020028242121,0.10953489611582103,8.41,2,32,100
0,<keras.engine.sequential.Sequential object at 0x1603e8da0>,0.2666294948930815,0.2666294327818239,0.2666293982280757,14.51,2,32,200
0,<keras.engine.sequential.Sequential object at 0x15f777668>,0.07564432249882064,0.0822430046732921,0.0822439525380338,6.83,2,256,50
0,<keras.engine.sequential.Sequential object at 0x160e67668>,0.574217839844966,0.5622807525399808,0.5360673088169277,9.59,2,256,100
0,<keras.engine.sequential.Sequential object at 0x161f7eb70>,1.110178637158127,1.1047827792049587,1.10175924608397,12.18,2,256,200
0,<keras.engine.sequential.Sequential object at 0x16247e978>,0.35044281237742125,0.3353537225213324,0.3716105983623659,7.4,2,1024,50
0,<keras.engine.sequential.Sequential object at 0x162f53668>,0.22861401864243988,0.24440239909114855,0.2500590560109041,8.43,2,1024,100
0,<keras.engine.sequential.Sequential object at 0x163d8f2b0>,2.1401914001734768,2.151746895549668,2.180205633667428,11.94,2,1024,200
